"COUNTRY","Country","SEX","Gender","EDUCATION_FIELD","Field","EDUCATION_LEV","Education level","MOBILITY","Mobility","YEAR","Year","Value","Flag Codes","Flags"
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_8","Doctoral or equivalent level","_T","Total","2018","2018",90,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_8","Doctoral or equivalent level","_T","Total","2019","2019",86,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_8","Doctoral or equivalent level","_T","Total","2020","2020",75,,
"SVN","Slovenia","_T","Total","F02","Arts and humanities","ISCED11_8","Doctoral or equivalent level","_T","Total","2021","2021",65,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_35","Upper secondary vocational education","_T","Total","2017","2017",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_35","Upper secondary vocational education","_T","Total","2018","2018",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_35","Upper secondary vocational education","_T","Total","2019","2019",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_35","Upper secondary vocational education","_T","Total","2020","2020",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_35","Upper secondary vocational education","_T","Total","2021","2021",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2017","2017",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2018","2018",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2019","2019",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2020","2020",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_45","Post-secondary non-tertiary vocational education","_T","Total","2021","2021",,"m","Missing value; data cannot exist"
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_5","Short-cycle tertiary education","_T","Total","2017","2017",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_5","Short-cycle tertiary education","_T","Total","2018","2018",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_5","Short-cycle tertiary education","_T","Total","2019","2019",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_5","Short-cycle tertiary education","_T","Total","2020","2020",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_5","Short-cycle tertiary education","_T","Total","2021","2021",0,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2017","2017",1066,,
"SVN","Slovenia","_T","Total","F03","Social sciences, journalism and information","ISCED11_6","Bachelor’s or equivalent level","_T","Total","2018","2018",955,,
