"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F05","Natural sciences, mathematics and statistics","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",13.29981,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",87.575104,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",78.772766,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",89.009766,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",89.59597,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.7316196,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",9.4817514,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.469907,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",,"c","Data below the publication limit"
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",9.0302525,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",12.975814,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F06","Information communication technologies (ICTs)","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",9.4886465,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",88.155121,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",84.122879,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",89.472374,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",89.98674,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",2.702096,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",2.1852469,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",3.1123354,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_UNEMPLOYMENT","Unemployment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",2.121264,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",9.3966875,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",13.997758,,
"AUS","Australia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","F07","Engineering, manufacturing & construction","VALUE","Value","NEAC_RATE_INACTIVITY","Inactivity rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",8.0630302,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",86.907967,,
"AUS","Australia","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",79.355331,,
"AUS","Australia","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","F09","Health and welfare","VALUE","Value","NEAC_RATE_EMPLOYMENT","Employment rate","9999","Latest available year","PC","Percentage","0","Units","2021","2021",88.952156,,
